model_name,scenario_name,epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,learning_rate,epoch_time_seconds,improved_selection_metric,selection_metric,selection_mode
lstm,fixed_epochs_overfit_baseline,1,0.654094774733419,0.5978260869565217,0.6311800373134329,0.47069565217391307,0.5392508467822276,0.42314128708839416,0.832,0.8293650793650794,0.836,0.8326693227091634,0.0001,12.411821791902184,True,val_f1,max
lstm,fixed_epochs_overfit_baseline,2,0.34472168251742485,0.8646956521739131,0.8624891961970613,0.8677391304347826,0.8651061985262245,0.3189109094142914,0.8845,0.8856569709127382,0.883,0.8843264897346019,0.0001,12.518402167013846,True,val_f1,max
lstm,fixed_epochs_overfit_baseline,3,0.25297593340148095,0.9045217391304348,0.9029799029799029,0.9064347826086957,0.9047040444367297,0.27562188148498534,0.892,0.8943661971830986,0.889,0.8916750250752257,0.0001,12.560638791997917,True,val_f1,max
lstm,fixed_epochs_overfit_baseline,4,0.2004708859661351,0.9278695652173913,0.9285776500304852,0.9270434782608695,0.9278099299421261,0.2701010091304779,0.8945,0.8933200398803589,0.896,0.8946580129805292,0.0001,12.612251208047383,True,val_f1,max
lstm,fixed_epochs_overfit_baseline,5,0.16423236214596293,0.9443478260869566,0.9458209736520677,0.942695652173913,0.9442557268530616,0.287896071434021,0.888,0.9024896265560166,0.87,0.8859470468431772,0.0001,12.704532374977134,False,val_f1,max
lstm,fixed_epochs_overfit_baseline,6,0.1352782899244972,0.9559130434782609,0.9573447313328681,0.9543478260869566,0.9558439296289845,0.29273327326774595,0.889,0.8929292929292929,0.884,0.8884422110552764,0.0001,12.592964500072412,False,val_f1,max
lstm,fixed_epochs_overfit_baseline,7,0.11071569678835247,0.9665217391304348,0.9683135474860335,0.9646086956521739,0.9664575710054016,0.36828126275539397,0.8765,0.9035369774919614,0.843,0.8722193481634765,0.0001,12.72607183305081,False,val_f1,max
lstm,fixed_epochs_overfit_baseline,8,0.09368846872578497,0.9729565217391304,0.9753539590980598,0.9704347826086956,0.9728881527329788,0.3958037406206131,0.8795,0.8860630722278738,0.871,0.8784669692385275,0.0001,12.961282334057614,False,val_f1,max
lstm,fixed_epochs_overfit_baseline,9,0.07487033064987349,0.9789130434782609,0.9800400941340539,0.9777391304347826,0.9788882601314587,0.3962847170829773,0.878,0.8888888888888888,0.864,0.8762677484787018,0.0001,12.961788083077408,False,val_f1,max
lstm,fixed_epochs_overfit_baseline,10,0.06421684137116308,0.9830869565217392,0.9846462531623484,0.9814782608695652,0.9830597047424117,0.35147182297706603,0.879,0.8759920634920635,0.883,0.8794820717131474,0.0001,12.884640207979828,False,val_f1,max
lstm,fixed_epochs_overfit_baseline,11,0.05194453951910786,0.9873478260869565,0.9876446532672061,0.9870434782608696,0.9873439742530336,0.5018893535137177,0.872,0.8842975206611571,0.856,0.8699186991869918,0.0001,12.466398832970299,False,val_f1,max
lstm,fixed_epochs_overfit_baseline,12,0.04442213065857473,0.9898695652173913,0.9911080115072792,0.9886086956521739,0.9898567759348744,0.6082278344631195,0.8585,0.8430622009569378,0.881,0.8616136919315404,0.0001,12.550411166041158,False,val_f1,max
lstm,fixed_epochs_overfit_baseline,13,0.03511267523467541,0.9917391304347826,0.9915681502086231,0.9919130434782608,0.9917405668579378,0.7332704875469208,0.858,0.8558648111332008,0.861,0.8584247258225324,0.0001,12.50861083297059,False,val_f1,max
lstm,fixed_epochs_overfit_baseline,14,0.02821828678962977,0.9938695652173913,0.9942563745539987,0.9934782608695653,0.9938671654125527,0.7301036481857299,0.855,0.8615071283095723,0.846,0.8536831483350151,0.0001,12.600164250005037,False,val_f1,max
lstm,fixed_epochs_overfit_baseline,15,0.024825272790277783,0.9944347826086957,0.9946928832434313,0.9941739130434782,0.9944333304340263,0.7245223388671875,0.857,0.8773784355179705,0.83,0.8530318602261048,0.0001,12.407704957993701,False,val_f1,max
