model_name,scenario_name,epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,learning_rate,epoch_time_seconds,improved_selection_metric,selection_metric,selection_mode
lstm,lr_5e5_no_weight_decay,1,0.6927960858552352,0.5099130434782608,0.5221359223300971,0.23382608695652174,0.323003003003003,0.6905270156860351,0.7515,0.7211961301671064,0.82,0.7674309780065512,5e-05,12.622716665966436,True,val_f1,max
lstm,lr_5e5_no_weight_decay,2,0.5898179014143736,0.7110434782608696,0.6991302920905809,0.7409565217391304,0.7194360013508949,0.39723405504226683,0.8435,0.8390918065153011,0.85,0.8445106805762543,5e-05,12.634895832976326,True,val_f1,max
lstm,lr_5e5_no_weight_decay,3,0.34643334830843886,0.8657391304347826,0.8613402061855671,0.8718260869565218,0.8665514261019879,0.33101548433303835,0.867,0.8542471042471043,0.885,0.869351669941061,5e-05,12.608098624972627,True,val_f1,max
lstm,lr_5e5_no_weight_decay,4,0.28054453386431155,0.8938695652173914,0.8921305514674054,0.8960869565217391,0.8941043772504447,0.30438312017917635,0.88,0.8909465020576132,0.866,0.8782961460446247,5e-05,12.582582833012566,True,val_f1,max
lstm,lr_5e5_no_weight_decay,5,0.24366128315614619,0.9101304347826087,0.9089569062689673,0.9115652173913044,0.9102591933313072,0.29573480927944185,0.885,0.9035639412997903,0.862,0.8822927328556807,5e-05,12.65806008304935,True,val_f1,max
lstm,lr_5e5_no_weight_decay,6,0.21389571698333906,0.9218695652173913,0.921539664610305,0.9222608695652174,0.9219001260376375,0.29362133634090426,0.881,0.913232104121475,0.842,0.8761706555671176,5e-05,12.530090415966697,False,val_f1,max
lstm,lr_5e5_no_weight_decay,7,0.1891518095731735,0.9323913043478261,0.9324289068614662,0.9323478260869565,0.9323883647115092,0.29261803257465363,0.8845,0.8992731048805815,0.866,0.8823229750382068,5e-05,12.397874542046338,True,val_f1,max
lstm,lr_5e5_no_weight_decay,8,0.16620530136771824,0.9418260869565217,0.9429044630404463,0.9406086956521739,0.9417551802193975,0.34648463582992556,0.8735,0.9220338983050848,0.816,0.8657824933687003,5e-05,12.164612874970771,False,val_f1,max
lstm,lr_5e5_no_weight_decay,9,0.14846563052612802,0.9501739130434783,0.9522977459374454,0.9478260869565217,0.9500566547546413,0.2989683493375778,0.883,0.8989583333333333,0.863,0.8806122448979592,5e-05,12.598659708048217,False,val_f1,max
lstm,lr_5e5_no_weight_decay,10,0.13150094851721889,0.9584782608695652,0.960601030837774,0.9561739130434782,0.9583823593498061,0.32410406577587125,0.887,0.8735521235521235,0.905,0.8889980353634578,5e-05,12.684164582984522,True,val_f1,max
lstm,lr_5e5_no_weight_decay,11,0.11531507907419102,0.9651304347826087,0.9673248296348069,0.9627826086956521,0.9650483744443475,0.3500947091579437,0.8835,0.8846539618856569,0.882,0.8833249874812218,5e-05,12.519882624968886,False,val_f1,max
lstm,lr_5e5_no_weight_decay,12,0.10224817146943962,0.9698260869565217,0.9715482632222028,0.968,0.9697708859656764,0.34283358895778654,0.881,0.896049896049896,0.862,0.8786952089704383,5e-05,12.653074875008315,False,val_f1,max
lstm,lr_5e5_no_weight_decay,13,0.09083575134691985,0.9748260869565217,0.9771079073831367,0.9724347826086956,0.9747657441708433,0.4096125037670135,0.874,0.8978723404255319,0.844,0.8701030927835052,5e-05,12.595760458963923,False,val_f1,max
lstm,lr_5e5_no_weight_decay,14,0.08204632119510485,0.9782173913043478,0.9799284405270966,0.9764347826086957,0.9781784920946034,0.4039810026884079,0.8795,0.8876404494382022,0.869,0.8782213239009601,5e-05,12.611281750025228,False,val_f1,max
