,config_name,config,best_epoch,validation_f1_macro,validation_accuracy,epochs_trained,training_time_sec,time_per_epoch_sec,f1_mean,f1_std,f1_min,f1_max,acc_mean,acc_std,n_folds,f1_mean_std,acc_mean_std
0,config_9,"MLPConfig(hidden_layers=[128, 64], activation='relu', dropout=0.2, use_batch_norm=False, optimizer='rmsprop', lr=0.001, epochs=100, batch_size=32)",16.7,0.9461436359115856,0.9351979320839675,26.7,225.0867896080017,0.8518330887458513,0.9461514359180925,0.005248667719665912,0.9365046722643112,0.9521009397421313,0.9352999729002939,0.0053117113822840146,10,0.9462 ± 0.0052,0.9353 ± 0.0053
1,config_10,"MLPConfig(hidden_layers=[128, 64], activation='relu', dropout=0.2, use_batch_norm=False, optimizer='adamw', lr=0.001, epochs=100, batch_size=128)",20.1,0.944536711138029,0.9338709845531676,30.1,82.48259115219116,0.28183046974599446,0.9445451820003458,0.003911784218412619,0.9385778903237847,0.9496743118043557,0.9339731295991328,0.005133256299533786,10,0.9445 ± 0.0039,0.9340 ± 0.0051
2,config_6,"MLPConfig(hidden_layers=[64], activation='relu', dropout=0.2, use_batch_norm=False, optimizer='adamw', lr=0.001, epochs=100, batch_size=32)",17.3,0.9437733158966795,0.9329533468137001,27.3,227.58756852149963,0.8539693517450176,0.9437733158966795,0.005325657926048195,0.9373497621262876,0.9540698036117046,0.9329533468137001,0.006335970948409631,10,0.9438 ± 0.0053,0.9330 ± 0.0063
3,config_8,"MLPConfig(hidden_layers=[64, 32], activation='relu', dropout=0.2, use_batch_norm=False, optimizer='rmsprop', lr=0.001, epochs=100, batch_size=32)",13.7,0.9429976204945557,0.9325444539409226,23.7,201.46154880523682,0.8543581827781889,0.9429976204945557,0.00407318390591363,0.9375071461293416,0.9488923190515565,0.9325444539409226,0.004227889082814769,10,0.9430 ± 0.0041,0.9325 ± 0.0042
4,config_3,"MLPConfig(hidden_layers=[16], activation='relu', dropout=0.0, use_batch_norm=False, optimizer='adamw', lr=0.001, epochs=100, batch_size=32)",26.5,0.94266730058616,0.9320340414000124,36.5,295.68043184280396,0.8186740225853033,0.9426735531833739,0.003119312245148583,0.9386648403379783,0.9478597694203973,0.9319318963540473,0.0034353692390709724,10,0.9427 ± 0.0031,0.9319 ± 0.0034
5,config_7,"MLPConfig(hidden_layers=[64], activation='tanh', dropout=0.0, use_batch_norm=False, optimizer='rmsprop', lr=0.001, epochs=100, batch_size=32)",12.2,0.9418965149924275,0.9315234203998249,22.2,169.83880996704102,0.7634292462990189,0.9418965149924275,0.004225759831023846,0.9351264765544364,0.9512713479588406,0.9315234203998249,0.004919316331518163,10,0.9419 ± 0.0042,0.9315 ± 0.0049
6,config_4,"MLPConfig(hidden_layers=[16, 8], activation='relu', dropout=0.0, use_batch_norm=False, optimizer='adam', lr=0.001, epochs=100, batch_size=32)",20.7,0.9418083278442382,0.9310136332367474,30.7,285.5859708786011,0.9377951807240364,0.9418083278442382,0.003458276011144762,0.9370220621085583,0.9466836779453619,0.9310136332367474,0.004810956270492491,10,0.9418 ± 0.0035,0.9310 ± 0.0048
7,config_2,"MLPConfig(hidden_layers=[8], activation='relu', dropout=0.0, use_batch_norm=False, optimizer='adamw', lr=0.001, epochs=100, batch_size=32)",26.9,0.940495708353513,0.9293801463384128,36.9,301.13473320007324,0.8237574298044048,0.9405009694554991,0.00464256151705701,0.9341807892417008,0.9510753490337605,0.9294821871547393,0.005436717265234952,10,0.9405 ± 0.0046,0.9295 ± 0.0054
8,config_5,"MLPConfig(hidden_layers=[16], activation='relu', dropout=0.2, use_batch_norm=False, optimizer='adam', lr=0.0005, epochs=100, batch_size=128)",49.5,0.9378778313246515,0.9264207542056659,59.5,149.05200242996216,0.2523007723898985,0.9378828045801558,0.00525581699599114,0.9326910394452826,0.9498322958464273,0.9264207542056659,0.006135187173478837,10,0.9379 ± 0.0053,0.9264 ± 0.0061
9,config_1,"MLPConfig(hidden_layers=[], activation='relu', dropout=0.2, use_batch_norm=False, optimizer='adam', lr=0.001, epochs=100, batch_size=32)",21.3,0.9374891669801096,0.9262171937212065,31.3,205.63948893547058,0.6615085001138576,0.937494434607139,0.004106908293540341,0.9323261088585418,0.9456221583543147,0.9261151529048799,0.004356682067481292,10,0.9375 ± 0.0041,0.9261 ± 0.0044
