name;hidden_layers;optimizer;activation;dropout;lr;use_batch_norm;Soma de validation_f1_macro;Soma de validation_accuracy;Soma de training_time_sec
gelu_grid-config_30;[128, 64];adamw;gelu;0;0,0010;False;0,950446;0,941837;19,818
gelu_grid-config_39;[128, 64];adamw;gelu;0,1;0,0010;False;0,949260;0,941837;14,644
full_grid-config_119;[64, 32];rmsprop;relu;0,2;0,0005;False;0,949517;0,941837;37,957
gelu_grid-config_40;[128, 64];adamw;gelu;0,1;0,0010;False;0,950390;0,941837;11,380
gelu_grid-config_36;[128, 64];adamw;gelu;0,1;0,0005;False;0,949076;0,940816;27,568
gelu_grid-config_18;[64, 32];adamw;gelu;0,2;0,0005;False;0,949154;0,940816;23,472
gelu_grid-config_13;[64, 32];adamw;gelu;0,1;0,0010;False;0,948992;0,940816;22,386
simple_grid-config_21;[8];adamw;relu;0;0,0010;False;0,947958;0,940816;57,006
gelu_grid-config_22;[64, 32];adamw;gelu;0,2;0,0010;False;0,949846;0,940816;24,993
gelu_grid-config_16;[64, 32];adamw;gelu;0,1;0,0010;False;0,948662;0,940816;25,803
gelu_grid-config_35;[128, 64];adamw;gelu;0,1;0,0005;False;0,948719;0,940816;21,434
full_grid-config_159;[128, 64];adam;relu;0,2;0,0005;False;0,948541;0,940816;26,790
full_grid-config_73;[64];adam;tanh;0;0,0010;False;0,948801;0,940816;50,259
full_grid-config_163;[128, 64];adamw;relu;0,2;0,0005;False;0,949447;0,940816;35,723
full_grid-config_25;[32];adam;tanh;0;0,0010;False;0,949402;0,940816;69,963
full_grid-config_169;[128, 64];adam;tanh;0;0,0010;False;0,946451;0,939796;40,490
gelu_grid-config_37;[128, 64];adamw;gelu;0,1;0,0010;False;0,948600;0,939796;12,362
full_grid-config_162;[128, 64];adamw;relu;0,2;0,0010;False;0,948249;0,939796;8,301
full_grid-config_178;[128, 64];rmsprop;tanh;0;0,0010;False;0,946883;0,939796;9,614
gelu_grid-config_15;[64, 32];adamw;gelu;0,1;0,0010;False;0,947683;0,939796;24,377
full_grid-config_77;[64];adamw;tanh;0;0,0010;False;0,948186;0,939796;40,065
simple_grid-config_17;[8];adam;relu;0;0,0010;False;0,945972;0,939796;54,911
gelu_grid-config_9;[64, 32];adamw;gelu;0,1;0,0005;False;0,946800;0,938776;26,419
full_grid-config_171;[128, 64];adam;tanh;0;0,0005;False;0,945571;0,938776;25,968
full_grid-config_150;[128, 64];adamw;relu;0;0,0010;False;0,947959;0,938776;10,905
full_grid-config_20;[32];adamw;relu;0,2;0,0005;False;0,944695;0,938776;23,941
full_grid-config_188;[128, 64];adamw;tanh;0,2;0,0005;False;0,944958;0,938776;17,752
full_grid-config_21;[32];rmsprop;relu;0,2;0,0010;False;0,946800;0,938776;32,816
full_grid-config_146;[128, 64];adam;relu;0;0,0010;False;0,946328;0,938776;9,138
full_grid-config_24;[32];rmsprop;relu;0,2;0,0005;False;0,943808;0,938776;21,572
full_grid-config_157;[128, 64];adam;relu;0,2;0,0010;False;0,946950;0,938776;19,386
gelu_grid-config_20;[64, 32];adamw;gelu;0,2;0,0005;False;0,947522;0,938776;23,390
full_grid-config_166;[128, 64];rmsprop;relu;0,2;0,0010;False;0,944453;0,938776;10,594
full_grid-config_29;[32];adamw;tanh;0;0,0010;False;0,946856;0,938776;61,219
gelu_grid-config_44;[128, 64];adamw;gelu;0,2;0,0005;False;0,947304;0,938776;17,670
full_grid-config_50;[64];adam;relu;0;0,0010;False;0,947647;0,938776;19,911
simple_grid-config_54;[16, 8];adamw;relu;0;0,0010;False;0,943902;0,938776;13,159
full_grid-config_7;[32];adamw;relu;0;0,0005;False;0,945704;0,938776;75,697
full_grid-config_148;[128, 64];adam;relu;0;0,0005;False;0,945343;0,938776;16,349
full_grid-config_140;[64, 32];adamw;tanh;0,2;0,0005;False;0,944578;0,938776;24,737
