experiment,config_name,best_epoch,validation_f1_macro,validation_accuracy,validation_loss,epochs_trained,training_time_sec,time_per_epoch_sec,hidden_layers,activation,dropout,use_batch_norm,optimizer,lr,epochs,batch_size,weight_decay
unified_grid,config_97,51,0.9544746775159234,0.9459183673469388,0.15950275837413727,61,60.031317949295044,0.9841199663818859,"[64, 32]",relu,0.0,False,adam,0.001,100,32,0.0
unified_grid,config_26,37,0.9535496924069998,0.9438775510204082,0.16315392637625337,47,23.96788716316223,0.5099550460247283,"[128, 64]",gelu,0.0,False,adamw,0.001,100,64,1e-05
unified_grid,config_40,29,0.9511521348034823,0.9428571428571428,0.16331988526508212,39,21.591646909713745,0.5536319720439422,"[128, 64]",gelu,0.1,False,adamw,0.0005,100,64,0.0005
unified_grid,config_141,20,0.9510394754911601,0.9428571428571428,0.1656432843977405,30,29.874467134475708,0.9958155711491903,"[128, 64]",relu,0.2,False,rmsprop,0.001,100,32,0.0
unified_grid,config_157,47,0.9500789102809982,0.9418367346938775,0.16633038463131075,57,47.902909994125366,0.8404019297214976,[64],tanh,0.0,False,adam,0.001,100,32,0.0
unified_grid,config_121,21,0.9502658161379919,0.9418367346938775,0.16720337114266812,31,31.604079246520996,1.019486427307129,"[128, 64]",relu,0.0,False,adam,0.001,100,32,0.0
unified_grid,config_118,65,0.9486350867299134,0.9408163265306122,0.1668979013338685,75,21.598100900650024,0.28797467867533366,"[64, 32]",relu,0.2,False,rmsprop,0.001,100,128,0.0
unified_grid,config_18,23,0.9497767471435911,0.9408163265306122,0.16302415449172258,33,18.7344708442688,0.5677112377051151,"[64, 32]",gelu,0.2,False,adamw,0.001,100,64,1e-05
unified_grid,config_125,19,0.9494593712145528,0.9408163265306122,0.1622721886322383,29,28.56899404525757,0.9851377256985369,"[128, 64]",relu,0.0,False,adamw,0.001,100,32,0.0
unified_grid,config_133,44,0.9491733993565968,0.9408163265306122,0.1578881171562018,54,53.485883951187134,0.9904793324293913,"[128, 64]",relu,0.2,False,adam,0.001,100,32,0.0
unified_grid,config_114,69,0.9487926588459005,0.9408163265306122,0.17305427324026823,79,22.81765079498291,0.2888310227213027,"[64, 32]",relu,0.2,False,adamw,0.001,100,128,0.0
