experiment,config_name,hidden_layers,activation,dropout,use_batch_norm,optimizer,lr,epochs,batch_size,weight_decay,best_epoch,best_epoch_std,validation_loss,validation_loss_std,validation_f1_macro,validation_f1_macro_std,validation_accuracy,validation_accuracy_std,epochs_trained,epochs_trained_std,training_time_sec,time_per_epoch_sec,time_per_epoch_sec_std,n_folds,f1_mean,f1_std,f1_min,f1_max,acc_mean,acc_std,acc_min,acc_max,loss_mean,loss_std,loss_min,loss_max,f1_mean_std,acc_mean_std,hidden_layers,activation,dropout,use_batch_norm,optimizer,lr,epochs,batch_size,weight_decay
kfold,config_1,"[64, 32]",relu,0.0,False,adam,0.001,100,32,0.0,26.4,10.885260166339107,0.18428209267797008,0.01116301317739376,0.9434844017783576,0.005596392455291065,0.9330549707114717,0.004925716954134733,36.4,10.885260166339107,359.5044949054718,0.9885839046203966,0.020515355619058498,10,0.9434844017783576,0.005596392455291065,0.9347779932315411,0.9525238540949335,0.9330549707114717,0.004925716954134733,0.9275510204081633,0.9418367346938775,0.18428209267797008,0.01116301317739376,0.16416935706811567,0.20171494733902715,0.9435 ± 0.0056,0.9331 ± 0.0049,"[64, 32]",relu,0.0,False,adam,0.001,100,32,0.0
kfold,config_4,"[128, 64]",relu,0.2,False,rmsprop,0.001,100,32,0.0,22.8,9.437513796899408,0.18259704355150463,0.012997744123391292,0.9437456391916049,0.0037781677707257196,0.9330546580225553,0.005248125168715055,32.8,9.437513796899408,338.74225664138794,1.036663856574274,0.019127525471485725,10,0.9437456391916049,0.0037781677707257196,0.9362606819724794,0.9492582391265876,0.9330546580225553,0.005248125168715055,0.9214285714285714,0.9418367346938775,0.18259704355150463,0.012997744123391292,0.16534665515345912,0.20499383465897653,0.9437 ± 0.0038,0.9331 ± 0.0052,"[128, 64]",relu,0.2,False,rmsprop,0.001,100,32,0.0
kfold,config_8,"[128, 64]",gelu,0.1,False,adamw,0.001,100,64,0.0,22.4,11.692352676476668,0.1838231710717082,0.014165290637761787,0.9431117618883382,0.004309423692515387,0.9329523045173126,0.005046690003694084,32.4,11.692352676476668,181.34613060951233,0.5623385953768254,0.023737341375913323,10,0.9431117618883382,0.004309423692515387,0.9376214212997903,0.9515771350778065,0.9329523045173126,0.005046690003694084,0.9244897959183673,0.9408163265306122,0.1838231710717082,0.014165290637761787,0.1678285184316337,0.21295784506946802,0.9431 ± 0.0043,0.9330 ± 0.0050,"[128, 64]",gelu,0.1,False,adamw,0.001,100,64,0.0
kfold,config_10,"[128, 64]",relu,0.2,False,adam,0.001,100,32,0.0,17.6,10.793001847905376,0.1827048100771443,0.012032068691227416,0.9437437582528038,0.006127866558761625,0.9328513059973735,0.005896058124421265,27.6,10.793001847905376,284.0066063404083,1.0304139012144116,0.02988229229645193,10,0.9437437582528038,0.006127866558761625,0.9346871201708505,0.9547767570929582,0.9328513059973735,0.005896058124421265,0.9255102040816326,0.9427987742594485,0.1827048100771443,0.012032068691227416,0.16750795322079812,0.20358880008420638,0.9437 ± 0.0061,0.9329 ± 0.0059,"[128, 64]",relu,0.2,False,adam,0.001,100,32,0.0
kfold,config_9,"[128, 64]",relu,0.0,False,adamw,0.001,100,32,0.0,18.9,7.809538327512637,0.18387786812118947,0.010434502845931951,0.9434135022438532,0.005066059792395554,0.9327491609514083,0.006121189281364818,28.9,7.809538327512637,289.1928720474243,1.0048993429912827,0.027827123529333767,10,0.9434135022438532,0.005066059792395554,0.9356622974941101,0.9530204746210414,0.9327491609514083,0.006121189281364818,0.9224489795918367,0.9417773237997957,0.18387786812118947,0.010434502845931951,0.17219169534021808,0.20456080787604855,0.9434 ± 0.0051,0.9327 ± 0.0061,"[128, 64]",relu,0.0,False,adamw,0.001,100,32,0.0
kfold,config_5,"[128, 64]",relu,0.0,False,adam,0.001,100,32,0.0,20.0,7.333333333333333,0.18254405233047663,0.012791826830010877,0.9433946025287275,0.0040940600258785416,0.9327489524921309,0.004738421246940484,30.0,7.333333333333333,303.9461102485657,1.018766825108631,0.03210404441473773,10,0.9433946025287275,0.0040940600258785416,0.937358271478378,0.9494113378424893,0.9327489524921309,0.004738421246940484,0.9275510204081633,0.9397344228804902,0.18254405233047663,0.012791826830010877,0.16197424345920164,0.2024682719380625,0.9434 ± 0.0041,0.9327 ± 0.0047,"[128, 64]",relu,0.0,False,adam,0.001,100,32,0.0
kfold,config_3,"[128, 64]",gelu,0.1,False,adamw,0.0005,100,64,0.0005,41.2,21.07552556350085,0.1834243426565081,0.015547373133919669,0.9433157335276017,0.005025151634451648,0.9327489524921304,0.005485284245836243,50.7,19.669773765857094,276.1378355026245,0.548129481061564,0.01744149646676169,10,0.9433157335276017,0.005025151634451648,0.9371470109101293,0.9526556942630606,0.9327489524921304,0.005485284245836243,0.9244897959183673,0.9397344228804902,0.1834243426565081,0.015547373133919669,0.16499456949532032,0.2105358042754233,0.9433 ± 0.0050,0.9327 ± 0.0055,"[128, 64]",gelu,0.1,False,adamw,0.0005,100,64,0.0005
kfold,config_2,"[128, 64]",gelu,0.0,False,adamw,0.001,100,64,1e-05,22.6,9.489175119284312,0.18374370047822594,0.014478507141931909,0.9433805176019158,0.005545338679918201,0.9323408934564632,0.006095174569728407,32.6,9.489175119284312,176.29697942733765,0.5451176127158617,0.024767576393447985,10,0.9433805176019158,0.005545338679918201,0.9367633110315513,0.9518385835824515,0.9323408934564632,0.006095174569728407,0.9224489795918367,0.9418367346938775,0.18374370047822594,0.014478507141931909,0.1650342089124024,0.21120886411517859,0.9434 ± 0.0055,0.9323 ± 0.0061,"[128, 64]",gelu,0.0,False,adamw,0.001,100,64,1e-05
kfold,config_7,"[64, 32]",gelu,0.2,False,adamw,0.001,100,64,1e-05,39.5,24.918756879997936,0.1860591989941895,0.01526520548616123,0.9417825193422781,0.005172730679029021,0.9313203810635592,0.005193097431106737,48.6,22.584163576374582,257.6981520652771,0.5356431053627625,0.015333534490125908,10,0.9417825193422781,0.005172730679029021,0.9335184418965711,0.9513296108329623,0.9313203810635592,0.005193097431106737,0.9224489795918367,0.9397344228804902,0.1860591989941895,0.01526520548616123,0.16748583177104592,0.21459942497313023,0.9418 ± 0.0052,0.9313 ± 0.0052,"[64, 32]",gelu,0.2,False,adamw,0.001,100,64,1e-05
kfold,config_6,[64],tanh,0.0,False,adam,0.001,100,32,0.0,37.7,17.461385970191483,0.18686982843303873,0.01019037152440483,0.9414715427706808,0.003676935597884332,0.9308096558337328,0.003680816109381258,47.7,17.461385970191483,408.5225055217743,0.8611194533658753,0.024004515011812347,10,0.9414715427706808,0.003676935597884332,0.9359742057549487,0.9469425815661879,0.9308096558337328,0.003680816109381258,0.9244897959183673,0.9357142857142857,0.18686982843303873,0.01019037152440483,0.16386167470726273,0.20097975072360807,0.9415 ± 0.0037,0.9308 ± 0.0037,[64],tanh,0.0,False,adam,0.001,100,32,0.0
