experiment,config_name,best_epoch,validation_f1_macro,validation_accuracy,epochs_trained,training_time_sec,time_per_epoch_sec,hidden_layers,activation,dropout,use_batch_norm,optimizer,lr,epochs,batch_size
full_grid,config_81,67,0.9529441487242251,0.9438775510204082,77,55.92952108383179,0.7263574166731401,[64],tanh,0.0,False,rmsprop,0.001,100,32
full_grid,config_165,21,0.952676522930135,0.9438775510204082,31,28.39498019218445,0.9159671029736919,"[128, 64]",relu,0.2,False,rmsprop,0.001,100,32
full_grid,config_149,33,0.9520817699845245,0.9418367346938775,43,39.58591103553772,0.9206025822218075,"[128, 64]",relu,0.0,False,adamw,0.001,100,32
full_grid,config_117,51,0.9505021984215374,0.9418367346938775,61,48.71089792251587,0.7985393102051782,"[64, 32]",relu,0.2,False,rmsprop,0.001,100,32
full_grid,config_65,19,0.9497299922499894,0.9428571428571428,29,22.2839617729187,0.7684124749282311,[64],relu,0.2,False,adamw,0.001,100,32
full_grid,config_162,38,0.9496088588939041,0.9418367346938775,48,13.259001970291138,0.2762292077143987,"[128, 64]",relu,0.2,False,adamw,0.001,100,128
full_grid,config_145,14,0.9495365321092863,0.939795918367347,24,23.36150312423706,0.9733959635098776,"[128, 64]",relu,0.0,False,adam,0.001,100,32
full_grid,config_187,33,0.9493630726961664,0.9408163265306122,43,40.181472063064575,0.9344528386759203,"[128, 64]",tanh,0.2,False,adamw,0.0005,100,32
full_grid,config_166,27,0.9493382687234468,0.9418367346938775,37,10.816303730010986,0.2923325332435402,"[128, 64]",relu,0.2,False,rmsprop,0.001,100,128
full_grid,config_157,4,0.9489170355074117,0.9418367346938775,14,13.80328893661499,0.9859492097582135,"[128, 64]",relu,0.2,False,adam,0.001,100,32
full_grid,config_121,34,0.9488618511454586,0.9418367346938775,44,35.38972759246826,0.804311990737915,"[64, 32]",tanh,0.0,False,adam,0.001,100,32
full_grid,config_148,15,0.9486251106769027,0.9408163265306122,25,7.36351203918457,0.29454048156738283,"[128, 64]",relu,0.0,False,adam,0.0005,100,128
full_grid,config_107,29,0.9484667249693987,0.9408163265306122,39,35.411962270736694,0.9079990325829922,"[64, 32]",relu,0.0,False,rmsprop,0.0005,100,32
full_grid,config_102,30,0.948270951858755,0.939795918367347,40,11.435699939727783,0.2858924984931946,"[64, 32]",relu,0.0,False,adamw,0.001,100,128
full_grid,config_161,15,0.9482280158903491,0.9408163265306122,25,24.078283071517944,0.9631313228607178,"[128, 64]",relu,0.2,False,adamw,0.001,100,32
full_grid,config_114,26,0.9481887021681276,0.939795918367347,36,10.70098090171814,0.29724946949217057,"[64, 32]",relu,0.2,False,adamw,0.001,100,128
