experiment,config_name,best_epoch,validation_f1_macro,validation_accuracy,epochs_trained,training_time_sec,time_per_epoch_sec,hidden_layers,activation,dropout,use_batch_norm,optimizer,lr,epochs,batch_size
kfold,config_9,16.7,0.9461436359115856,0.9351979320839675,26.7,225.0867896080017,0.8518330887458513,"[128, 64]",relu,0.2,False,rmsprop,0.001,100,32
kfold,config_10,20.1,0.944536711138029,0.9338709845531676,30.1,82.48259115219116,0.28183046974599446,"[128, 64]",relu,0.2,False,adamw,0.001,100,128
kfold,config_6,17.3,0.9437733158966795,0.9329533468137001,27.3,227.58756852149963,0.8539693517450176,[64],relu,0.2,False,adamw,0.001,100,32
kfold,config_8,13.7,0.9429976204945557,0.9325444539409226,23.7,201.46154880523682,0.8543581827781889,"[64, 32]",relu,0.2,False,rmsprop,0.001,100,32
kfold,config_3,26.5,0.94266730058616,0.9320340414000124,36.5,295.68043184280396,0.8186740225853033,[16],relu,0.0,False,adamw,0.001,100,32
kfold,config_7,12.2,0.9418965149924275,0.9315234203998249,22.2,169.83880996704102,0.7634292462990189,[64],tanh,0.0,False,rmsprop,0.001,100,32
kfold,config_4,20.7,0.9418083278442382,0.9310136332367474,30.7,285.5859708786011,0.9377951807240364,"[16, 8]",relu,0.0,False,adam,0.001,100,32
kfold,config_2,26.9,0.940495708353513,0.9293801463384128,36.9,301.13473320007324,0.8237574298044048,[8],relu,0.0,False,adamw,0.001,100,32
kfold,config_5,49.5,0.9378778313246515,0.9264207542056659,59.5,149.05200242996216,0.2523007723898985,[16],relu,0.2,False,adam,0.0005,100,128
kfold,config_1,21.3,0.9374891669801096,0.9262171937212065,31.3,205.63948893547058,0.6615085001138576,[],relu,0.2,False,adam,0.001,100,32
