,config_1,config_10,config_2,config_3,config_4,config_5,config_6,config_7,config_8,config_9
config_1,1.0,0.001455492058291985,0.9752366500056239,0.06007650651395924,0.7966350428476585,0.9996865412691455,0.023825373481805245,0.26223867341867235,0.22460588750472243,0.0005557937816763614
config_10,0.001455492058291985,1.0,0.09117452418967231,0.9902322856362991,0.3034965607112836,0.018568048763807354,0.9992607845890754,0.8363187040425714,0.8713463223684981,0.9999999774486352
config_2,0.9752366500056239,0.09117452418967231,1.0,0.6552093330872826,0.999961932731335,0.999961932731335,0.4457978405620885,0.9470708463807999,0.9266472631150361,0.048207509722143604
config_3,0.06007650651395924,0.9902322856362991,0.6552093330872826,1.0,0.9266472631150361,0.30349656071128406,0.9999997097561393,0.9998822035531691,0.999961932731335,0.9630997073361255
config_4,0.7966350428476585,0.3034965607112836,0.999961932731335,0.9266472631150361,1.0,0.9902322856362991,0.7966350428476581,0.9984214444307,0.9968984042920711,0.19071468669342517
config_5,0.9996865412691455,0.018568048763807354,0.999961932731335,0.30349656071128406,0.9902322856362991,1.0,0.16056349317895702,0.70535131073214,0.6552093330872828,0.00843174910214306
config_6,0.023825373481805245,0.9992607845890754,0.4457978405620885,0.9999997097561393,0.7966350428476581,0.16056349317895702,1.0,0.9968984042920711,0.9984214444307,0.9943239487015753
config_7,0.26223867341867235,0.8363187040425714,0.9470708463807999,0.9998822035531691,0.9984214444307,0.70535131073214,0.9968984042920711,1.0,0.9999999999988085,0.7053513107321403
config_8,0.22460588750472243,0.8713463223684981,0.9266472631150361,0.999961932731335,0.9968984042920711,0.6552093330872828,0.9984214444307,0.9999999999988085,1.0,0.752761112733724
config_9,0.0005557937816763614,0.9999999774486352,0.048207509722143604,0.9630997073361255,0.19071468669342517,0.00843174910214306,0.9943239487015753,0.7053513107321403,0.752761112733724,1.0
