epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc
1,0.5801730327308178,0.78203125,0.5203581809997558,0.9,0.0
2,0.3738784346729517,0.95546875,0.36669657230377195,0.9,0.9
3,0.22499748058617114,0.9671875,0.2593697071075439,0.925,0.9
4,0.14798341523855923,0.97421875,0.1987510323524475,0.95,0.925
5,0.10485555250197649,0.9828125,0.16097722053527833,0.95,0.95
6,0.08002467509359121,0.98671875,0.13350884914398192,0.95,0.95
7,0.062090640468522904,0.98984375,0.11739675998687744,0.95,0.95
8,0.0482507111504674,0.99140625,0.1015806794166565,0.975,0.95
9,0.04028486083261669,0.99453125,0.09254565238952636,0.975,0.975
10,0.03309581992216408,0.996875,0.0827571302652359,1.0,0.975
11,0.02770187009591609,0.996875,0.07587912678718567,1.0,1.0
12,0.02334889431949705,0.996875,0.07251606285572051,1.0,1.0
13,0.020085235126316547,0.9984375,0.06799784898757935,1.0,1.0
14,0.01724376520141959,1.0,0.0648855745792389,1.0,1.0
15,0.014710946683771908,1.0,0.06273413300514222,1.0,1.0
16,0.01308896106784232,1.0,0.058855974674224855,1.0,1.0
